INFO 2020-09-11 05:34:24,879 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
ERROR 2020-09-11 05:34:27,882 log 228 Internal Server Error: /users/index/company/position/
Traceback (most recent call last):
  File "/home/moluo/.virtualenvs/LCMS/lib/python3.6/site-packages/django/core/handlers/exception.py", line 34, in inner
    response = get_response(request)
  File "/home/moluo/.virtualenvs/LCMS/lib/python3.6/site-packages/django/core/handlers/base.py", line 115, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "/home/moluo/.virtualenvs/LCMS/lib/python3.6/site-packages/django/core/handlers/base.py", line 113, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/moluo/.virtualenvs/LCMS/lib/python3.6/site-packages/django/views/generic/base.py", line 71, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/moluo/.virtualenvs/LCMS/lib/python3.6/site-packages/django/views/generic/base.py", line 97, in dispatch
    return handler(request, *args, **kwargs)
  File "/home/moluo/Desktop/LarryCMD/LarryCMD/src/companyInfo/views.py", line 172, in get
    print(i.username, i.departments.department, i.position.Position)
AttributeError: 'NoneType' object has no attribute 'department'
ERROR 2020-09-11 05:34:27,883 basehttp 154 "GET /users/index/company/position/ HTTP/1.1" 500 80981
INFO 2020-09-11 05:35:10,365 autoreload 203 /home/moluo/Desktop/LarryCMD/LarryCMD/src/companyInfo/views.py changed, reloading.
INFO 2020-09-11 05:35:10,721 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 05:35:17,785 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
WARNING 2020-09-11 05:35:17,836 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 05:35:17,836 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 05:35:17,843 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
INFO 2020-09-11 05:35:20,519 basehttp 154 "GET /users/index/company/position/ HTTP/1.1" 200 9350
WARNING 2020-09-11 05:35:20,567 log 228 Not Found: /users/index/json/newsList.json
WARNING 2020-09-11 05:35:20,567 basehttp 154 "GET /users/index/json/newsList.json HTTP/1.1" 404 2840
INFO 2020-09-11 05:36:24,609 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
INFO 2020-09-11 05:36:24,686 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
WARNING 2020-09-11 05:36:24,691 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 05:36:24,692 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 05:36:30,131 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
INFO 2020-09-11 05:36:30,227 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
WARNING 2020-09-11 05:36:30,230 log 228 Not Found: /users/index/js/navtab.js
WARNING 2020-09-11 05:36:30,231 basehttp 154 "GET /users/index/js/navtab.js HTTP/1.1" 404 2822
INFO 2020-09-11 05:36:35,791 basehttp 154 "GET /users/index/company/structure/ HTTP/1.1" 200 17796
INFO 2020-09-11 05:36:36,876 basehttp 154 "GET /users/index/company/position/ HTTP/1.1" 200 9350
WARNING 2020-09-11 05:36:36,931 log 228 Not Found: /users/index/json/newsList.json
WARNING 2020-09-11 05:36:36,931 basehttp 154 "GET /users/index/json/newsList.json HTTP/1.1" 404 2840
